reference,dataset,scenario,mode,seed,round,cutoff,partition_executed,attackers,attackers_in_executed_partitions,attackers_low,attackers_clustered,clusters,clusters_with_attackers,rejected_clusters
21,mnist,scenario_cut_backdoor,cutoff_clean,137,9,False,True,0,0,0,0,1,0,0
21,mnist,scenario_cut_backdoor,cutoff_clean,137,29,True,True,0,0,0,0,1,0,0
21,mnist,scenario_cut_backdoor,cutoff_clean,137,29,False,True,0,0,0,0,1,0,0
22,mnist,scenario_cut_backdoor,cutoff_clean,2024,0,True,False,0,0,0,0,0,0,0
22,mnist,scenario_cut_backdoor,cutoff_clean,2024,0,False,False,0,0,0,0,0,0,0
22,mnist,scenario_cut_backdoor,cutoff_clean,2024,9,True,True,0,0,0,0,1,0,0
22,mnist,scenario_cut_backdoor,cutoff_clean,2024,9,False,True,0,0,0,0,1,0,0
22,mnist,scenario_cut_backdoor,cutoff_clean,2024,29,True,True,0,0,0,0,1,0,0
22,mnist,scenario_cut_backdoor,cutoff_clean,2024,29,False,True,0,0,0,0,1,0,0
23,mnist,scenario_cut_backdoor,cutoff_clean,42,0,True,True,0,0,0,0,1,0,0
23,mnist,scenario_cut_backdoor,cutoff_clean,42,0,False,True,0,0,0,0,1,0,0
23,mnist,scenario_cut_backdoor,cutoff_clean,42,9,True,True,0,0,0,0,0,0,0
23,mnist,scenario_cut_backdoor,cutoff_clean,42,9,False,True,0,0,0,0,0,0,0
23,mnist,scenario_cut_backdoor,cutoff_clean,42,29,True,True,0,0,0,0,0,0,0
23,mnist,scenario_cut_backdoor,cutoff_clean,42,29,False,True,0,0,0,0,0,0,0
